id,name,category,town,address,phone,email,website,verify_status,notes,source
sc-135,Levi Local Heimish Handyman,Professional & Other Services,Sullivan County,Catskills local,845-777-7288,,,verify,Handyman,Curated + Vues 6/25/26
sc-136,The Catskill Pages,Professional & Other Services,Regionwide,"1762 50th St, Brooklyn, NY 11204 (region-wide distribution)",718-435-1409,info@catskillpages.com,catskillpages.com,verify,Community directory; alt 845-292-5559,Curated + Vues 6/25/26
sc-137,The Chalet Hotel,Hotels (Kosher Programs),Woodbourne,"Woodbourne, NY 12788",845-434-5124,,,verify,Hosts Mountain Top Steakhouse,Curated + Vues 6/25/26
sc-138,The Kartrite Resort,Hotels (Kosher Programs),Monticello,"555 Resorts World Dr, Monticello, NY 12701",844-527-8748,,thekartrite.com,verify,Kosher/Shabbat programming,Curated + Vues 6/25/26
sc-139,The Raleigh Hotel,Hotels (Kosher Programs),South Fallsburg,"680 Heiden Rd, South Fallsburg, NY 12779",845-434-7000,,,verify,Glatt kosher hotel (Primecut Steakhouse),Curated + Vues 6/25/26
sc-140,Bethel Creamery,Food Producer,Bethel,"Bethel area, NY",,,,verify,Organic kosher yogurt/milk,Curated + Vues 6/25/26
sc-141,Bais Medresh of Monticello,Synagogues & Batei Medrash,Monticello,50 Nelshore Dr,,,,verify,Synagogue,Prior list
sc-142,Chabad of Monticello,Synagogues & Batei Medrash,Monticello,15 North St (also 8 Fiske Ave),,,,verify,Chabad,Prior list
sc-143,Chabad of Rock Hill,Synagogues & Batei Medrash,Rock Hill,242 Old Sackett Rd,845-397-8000,,,verify,Chabad,Prior list
sc-144,Chabad of Swan Lake,Synagogues & Batei Medrash,Swan Lake,105 Lake View Dr,,,,verify,Chabad,Prior list
sc-145,Chabad of the Catskills,Synagogues & Batei Medrash,Fallsburg,69 Estate Dr,845-434-8570,,,verify,Chabad,Prior list
sc-146,Dushinsky-Shteeble,Synagogues & Batei Medrash,Monticello,7 Forestburg Rd (Rt 42),,,,verify,Synagogue,Prior list
sc-147,K'hal Yereim,Synagogues & Batei Medrash,Woodridge,25 Highland Ave,,,,verify,Synagogue,Prior list
sc-148,Kollel of South Fallsburg,Synagogues & Batei Medrash,South Fallsburg,187 Lake St,,,,verify,Study center,Prior list
sc-149,Kollel Zichron Moshe,Synagogues & Batei Medrash,Monticello,159 E Broadway,,,,verify,Study center,Prior list
sc-150,Ohavei Shalom,Synagogues & Batei Medrash,Woodridge,14 Maurice Rose St,,,,verify,Synagogue,Prior list
sc-151,Shaloh Center,Synagogues & Batei Medrash,Dairyland,Synagogue Rd,,,,verify,Synagogue,Prior list
sc-152,South Fallsburg Hebrew Association,Synagogues & Batei Medrash,South Fallsburg,South Fallsburg,,,,verify,Communal org,Prior list
sc-153,The Woodbourne Shul (Cong. Bnei Israel),Synagogues & Batei Medrash,Woodbourne,457 NY-52,,,thewoodbourneshul.com,verify,Synagogue,Prior list
sc-154,Tiferes Moshe,Synagogues & Batei Medrash,Monticello,55 St John St,845-807-8110,,,verify,Synagogue,Prior list
sc-155,Tifereth Israel (Landfield Ave Synagogue),Synagogues & Batei Medrash,Monticello,18 Landfield Ave,845-794-8470,,landfieldavenueshul.org,verify,Synagogue,Prior list
sc-156,Viznitz Gibbers Shul,Synagogues & Batei Medrash,Kiamesha Lake,169 Barnes Blvd,,,,verify,Synagogue,Prior list
sc-157,White Lake Shul,Synagogues & Batei Medrash,Kauneonga Lake,36 Lake St,,,,verify,Synagogue,Prior list
sc-158,Yeshiva Gedolah Zichron Moshe,Synagogues & Batei Medrash,South Fallsburg,84 Laurel Park Rd,845-434-5277,,,verify,Yeshiva,Prior list
sc-159,Yeshivas TTL Monticello,Synagogues & Batei Medrash,Monticello,18 Landfield Ave,845-397-0703,,,verify,Yeshiva,Prior list
sc-160,Camp Sternberg Mikvah,Mikvahs,Fallsburg,"97 Camp Utopia Rd, Fallsburg, NY 12733",845-543-3417,,,confirmed,By appointment,Vues 6/25/26
sc-161,Fallsburg Community Mikvah,Mikvahs,Fallsburg,"195 Brickman Rd, Fallsburg, NY 12733",845-915-1200,,,confirmed,,Vues 6/25/26
sc-162,Mikva Tahara (Kiryas Beirach Moshe),Mikvahs,Woodbourne,"58 Hasbrouck Dr, Woodbourne, NY 12788",917-747-7304,,,confirmed,,Vues 6/25/26
sc-163,Mikva Taharas Mordechai,Mikvahs,Woodridge,"Satmar Kollel Country, Woodridge, NY 12789",845-436-7960,,,confirmed,All year,Vues 6/25/26
sc-164,Mikva Taharas of Woodridge,Mikvahs,Woodridge,"Across from Main Shul, Woodridge, NY 12789",845-434-4987,,,confirmed,,Vues 6/25/26
sc-165,Mikvah Divrei Chaim,Mikvahs,Kauneonga Lake,"Khal Divrei Chaim, West Shore Rd, Kauneonga Lake, NY 12749",845-583-6605,,,confirmed,,Vues 6/25/26
sc-166,Mikvah Shearith Hapletah,Mikvahs,Woodbourne,"318 Firehouse Rd (Klausenberg Bung.), Woodbourne, NY 12788",845-434-5111,,,confirmed,,Vues 6/25/26
sc-167,Mikvah Tahara Bnos Yaakov,Mikvahs,Swan Lake,"Swan Lake, NY 12783",845-292-5291,,,confirmed,,Vues 6/25/26
sc-168,Mikvah Tahara D'Skolya,Mikvahs,Fallsburg,"5690 NY-42 (near Four Corners), Fallsburg, NY 12733",845-436-3333,,,confirmed,By appointment,Vues 6/25/26
sc-169,Mikvah Tahara of Swan Lake,Mikvahs,Swan Lake,"Main St (right side of shul), Swan Lake, NY 12783",845-292-3703,,,confirmed,,Vues 6/25/26
sc-170,Lake Forest Synagogue & Mikvah,Mikvahs,Fallsburg,Locust St,,,,verify,Synagogue / Mikvah,Prior list
sc-171,Monticello Ritual Mikvah,Mikvahs,Monticello,16 North St,,,,verify,Mikvah,Prior list
sc-172,Bikur Cholim of Catskills,Emergency & Community Services,Catskills,Sullivan County,845-583-7100,,,confirmed,Ellenville 845-339-4640,Vues 6/25/26
sc-173,Catskills Hatzalah / Matzil,Emergency & Community Services,Catskills,Sullivan County,833-628-9457,,,confirmed,Emergency 833-MATZIL7; Monticello 845-794-4422; matzil.org,Vues 6/25/26
sc-174,Chai Lifeline,Emergency & Community Services,Catskills,Sullivan County,212-465-1300,,,confirmed,,Vues 6/25/26
sc-175,Hamaspik,Emergency & Community Services,Ferndale,Sullivan County,845-356-8400,,,confirmed,Ferndale 845-292-6600,Vues 6/25/26
sc-176,Misaskim of the Catskills,Emergency & Community Services,Woodridge,Sullivan County,845-434-6893,,,confirmed,Office 845-777-4877,Vues 6/25/26
sc-177,Woodridge Police,Emergency & Community Services,Woodridge,"Woodridge, NY 12789",845-434-6644,,,confirmed,,Vues 6/25/26
